"","Alleanza Verdi e Sinistra","altre_liste","Azione","Democrazia Sovrana e Popolare","Forza Italia","Fratelli d'Italia","Lega","Libertà","Movimento 5 Stelle","Pace Terra e Dignità","Partito Democratico","Stati Uniti d'Europa"
"Alleanza Verdi e Sinistra",2.56512311329452,-0.620098880384722,0.331040897666795,0.529037139327792,-0.103047761771454,0.08598631959881,0.118428154802417,0.491196516474054,0.0872811651489562,-0.320845701702935,0.0820280108139232,0.267315796943652
"altre_liste",0,0,0,0,0,0,0,0,0,0,0,0
"Azione",0.046503591186692,-0.100022911145848,0.844285041538894,0.0366875788773388,-0.0262324927000744,0.00852292132356842,0.00202388595161091,0.0377357604548046,0.00798095268564649,-0.0427813566966819,0.00591242849745993,0.0273554953633955
"Democrazia Sovrana e Popolare",0,0,0,0,0,0,0,0,0,0,0,0
"Forza Italia",-0.568836115429743,0.0683419375131621,-0.393173692014317,-0.525559548074006,1.16322707005816,-0.0624406761481664,-0.221030811610789,-0.429522032369057,-0.113234954774784,-0.0903140186985764,-0.086883330981331,-0.296939094342128
"Fratelli d'Italia",-0.647154495031406,0.273414826348941,-0.177063063544685,0.186106029803457,-0.369952549707449,0.0365617591514776,-0.183692706599357,0.126992108672825,-0.0668175728526784,0.206653667864019,-0.0404996606639163,-0.215831943529425
"Lega",-0.294679255116798,0.084504908136034,-0.137119489485519,-0.168170259990018,-0.148533270266131,-0.0200871113319399,0.632818687228206,-0.0669480391206607,-0.0521771166406276,0.0465061365673295,-0.0316367579627243,-0.110182998802511
"Libertà",0,0,0,0,0,0,0,0,0,0,0,0
"Movimento 5 Stelle",-0.48667557843124,0.133784410110476,-0.232361166020484,-0.0992275984949897,-0.227574970727741,-0.0262854413925013,-0.166749799942831,-0.0983462542158289,0.208299643388488,0.0647200100629954,-0.0483887100831531,-0.180967898660285
"Pace Terra e Dignità",-0.00182770769853654,0.000378300867361572,-0.00196559919301719,-0.00392236488088799,-0.000879109577186934,-0.000309396354800971,-0.00125293719712425,-0.00315221735031058,-0.000521355832444943,0.025626957571546,-0.000380107012423984,-0.00190398525869995
"Partito Democratico",-0.63623350557629,0.197197835047446,-0.27442329498005,-0.0944117084156741,-0.250798961353753,-0.030475222398386,-0.17635678193206,-0.122392103614375,-0.0799430097387404,0.109522201404779,0.111117937137043,-0.22065265414909
"Stati Uniti d'Europa",0.0237799528033251,-0.0375004264928099,0.040780366032798,0.139460731844919,-0.0362079539558614,0.00852684755233926,-0.00418769070089474,0.0644362610684421,0.00913224861616314,0.000912103625260943,0.00873019025524859,0.731807282432536
