"","Alleanza Verdi e Sinistra","Azione","Democrazia Sovrana e Popolare","Forza Italia","Fratelli d'Italia","Lega","Libertà","Movimento 5 Stelle","Pace Terra e Dignità","Partito Democratico","Stati Uniti d'Europa","altre liste"
"Alleanza Verdi e Sinistra",16.477,-1.049,-0.533,-0.668,-0.679,-0.624,-0.533,-0.628,-0.534,-0.686,-0.392,-0.533
"Azione",-0.717,9.638,-0.323,-0.364,-0.378,-0.338,-0.323,-0.36,-0.322,-0.363,-0.271,-0.323
"Democrazia Sovrana e Popolare",0,-0.000999999999999993,0,0,0,0,0,0,0,0,0,0
"Forza Italia",-1.81,-0.907,0.109,3.146,-0.241,-0.296,0.109,-0.265,0.108,-0.287,-0.217,0.109
"Fratelli d'Italia",-5.044,-2.845,0.315,-0.688,2.633,-0.608,0.315,-0.635,0.313,-0.678,-0.828,0.315
"Lega",-1.629,-0.823,0.091,-0.272,-0.231,2.912,0.091,-0.219,0.091,-0.24,-0.109,0.091
"Libertà",0,0,0,0,0,0,0,0,0,0,0,0
"Movimento 5 Stelle",-2.993,-1.648,0.19,-0.387,-0.405,-0.343,0.19,2.739,0.188,-0.411,-0.386,0.19
"Pace Terra e Dignità",0,0,0,0,0,0,0,0,0.00799999999999999,0,0,0
"Partito Democratico",-3.81,-2.072,0.24,-0.594,-0.544,-0.516,0.24,-0.489,0.238,2.844,-0.614,0.24
"Stati Uniti d'Europa",-0.474,-0.293,-0.089,-0.173,-0.155,-0.187,-0.089,-0.143,-0.0900000000000001,-0.179,2.817,-0.089
"altre liste",0,0,0,0,0,0,0,0,0,0,0,0
